,Long,Lat,OBS,Species,mTcm,mTcm70,Pwq,Pwq70,Pop,CTI,nLmic,NN,CoH
1,152.22,-32.47,1,Lmic,0.7,0.98,0.424,0.49,0.009161444,1.480530262,22.77851176,0.02,5.671601375
2,152.18333,-32.3,1,Lmic,0.63,0.91,0.448,0.52,0.009161443,1.356350899,22.77851176,0.02,5.598730755
3,152.15,-30.87,1,Lmic,0.32,0.6,0.408,0.445,0.000929742,1.527487755,87.89253123,0.09,5.246214662
4,152.92,-30.72,1,Lmic,0.71,0.98,0.546,0.667,0.01224998,1.448131466,38.12466974,0.04,5.730079856
5,153,-30.4333,1,Lmic,0.68,0.95,0.65,0.797,0.017421997,1.348846531,3.62607483,0,5.827655016
6,152.99827,-30.40525003,1,Lmic,0.64,0.91,0.693,0.822,0.04048542,1.404899693,3.62607483,0,5.831800387
7,153.1281,-30.2944,1,Lmic,0.74,1.01,0.651,0.799,0.062945869,1.458859444,20.33103949,0.02,5.882784581
8,153.2,-30.0167,1,Lmic,0.75,1.02,0.582,0.704,0.004285306,1.429470062,23.86290934,0.02,5.908351908
9,153.25676,-29.83755003,1,Lmic,0.79,1.06,0.55,0.658,0.003789014,1.664547539,23.86290934,0.02,5.92914667
10,152.93,-29.68,1,Lmic,0.64,0.91,0.428,0.471,0.193944763,1.536024284,19.000876,0.02,5.794335653
11,153.1,-29.6667,1,Lmic,0.72,0.99,0.453,0.518,0.003789014,1.417232513,19.000876,0.02,5.863289579
12,153.23504,-29.46471003,1,Lmic,0.8,1.07,0.503,0.579,0.01580082,1.439768124,17.7950343,0.02,5.915704067
13,153.32867,-29.35184003,1,Lmic,0.84,1.11,0.537,0.618,0.015800818,1.531807232,17.7950343,0.02,5.952502458
14,153.35,-29.07,1,Lmic,0.83,1.1,0.546,0.616,0.022835571,1.616496277,8.347746986,0.01,5.957844324
15,153.41667,-29.10000002,1,Lmic,0.87,1.14,0.574,0.651,0.004136539,1.723860931,8.347746986,0.01,5.985467694
16,153.40616,-28.97626002,1,Lmic,0.84,1.11,0.565,0.633,0.049893089,1.42878046,13.47205721,0.01,5.979722884
17,31.625,-28.875,1,Lmic,1.08,1.34,0.399,0.422,0.16984523,1.161044788,64.075137,0.06,5.176183005
18,153.05,-28.87,1,Lmic,0.67,0.94,0.486,0.516,0.110822304,1.565689468,25.30123081,0.03,5.832500007
19,153.27,-28.82,1,Lmic,0.74,1.01,0.564,0.605,0.034467503,1.389364624,24.99028093,0.02,5.922060572
20,153.6,-28.8,1,Lmic,0.96,1.23,0.629,0.699,0.074170334,1.466391357,17.54191424,0.02,6.05717047
21,153.60506,-28.66189002,1,Lmic,1,1.27,0.631,0.698,0.050344109,1.682839775,9.015933348,0.01,6.057741997
22,153.56012,-28.60275002,1,Lmic,0.97,1.24,0.644,0.715,0.050344109,1.482445145,9.015933348,0.01,6.038629824
23,32.125,-28.625,1,Lmic,1.21,1.46,0.383,0.407,0.002473739,1.334294605,42.15839161,0.04,5.362505622
24,153.5248,-28.47108002,1,Lmic,0.93,1.2,0.691,0.758,0.042825024,1.500416088,17.14146299,0.02,6.022640035
25,32.375,-28.375,1,Lmic,1.27,1.52,0.388,0.415,0.058278236,1.443585873,31.59291648,0.03,5.473254764
26,153.54695,-28.21203002,1,Lmic,0.94,1.2,0.65,0.711,0.326643982,1.428529358,5.765087729,0.01,6.028876492
27,153.50409,-28.18641002,1,Lmic,0.92,1.19,0.623,0.68,0.685517334,1.376131535,5.765087729,0.01,6.010908221
28,32.375,-28.125,1,Lmic,1.12,1.37,0.38,0.406,0.000947905,1.41134758,31.59291648,0.03,5.508055455
29,152.6927,-28.12340002,1,Lmic,0.49,0.77,0.407,0.37,0.004850556,1.20959549,41.99060495,0.04,5.675240673
30,153.05,-28.01670002,1,Lmic,0.66,0.94,0.412,0.387,0.009841575,2.036903,37.17864335,0.04,5.82134439
31,153.417459,-27.96520685,1,Lmic,0.89,1.16,0.592,0.615,2.314179932,1.466391357,4.583799485,0,5.972597141
32,153.3772,-27.95757002,1,Lmic,0.88,1.15,0.578,0.589,1.764266357,1.532755756,4.583799485,0,5.955862029
33,153.35,-27.7833,1,Lmic,0.89,1.16,0.526,0.53,0.035492611,1.475308418,21.9005205,0.02,5.942547474
34,153.4167,-27.61943002,1,Lmic,0.96,1.23,0.544,0.547,0.01749663,1.298715115,21.9005205,0.02,5.968271694
35,153.09109,-27.63562002,1,Lmic,0.81,1.08,0.456,0.449,1.535187866,1.30198822,13.30494627,0.01,5.833417396
36,32.625,-27.625,1,Lmic,1.18,1.42,0.372,0.399,0.000509572,1.562917042,31.37493444,0.03,5.256624939
37,152.9761,-27.60674002,1,Lmic,0.77,1.05,0.431,0.421,1.156888428,1.326547623,13.30494627,0.01,5.785343744
38,153.02,-27.47,1,Lmic,0.85,1.13,0.462,0.447,2.814046875,1.402213573,17.84884931,0.02,5.801758683
39,153.5168,-27.43308,1,Lmic,1.06,1.33,0.536,0.55,0.017496632,1.312903976,25.91090314,0.03,6.007706552
40,152.5011,-27.49841002,1,Lmic,0.58,0.87,0.345,0.316,0.003510753,1.547181511,54.59819213,0.05,5.586660125
41,153.22,-27.47,1,Lmic,0.9,1.17,0.509,0.501,0.845701355,1.466391357,22.26389816,0.02,5.8848334
42,32.625,-27.375,1,Lmic,1.19,1.44,0.367,0.391,0.025259016,1.700992966,31.37493444,0.03,5.075678856
43,153.0833,-27.25,1,Lmic,0.89,1.17,0.501,0.486,0.437148163,1.519415474,24.05942065,0.02,5.825217915
44,153.40939,-27.19007002,1,Lmic,1.09,1.36,0.519,0.53,0.002700497,1.295384216,9.351953225,0.01,5.960251867
45,152.91051,-27.13452002,1,Lmic,0.79,1.07,0.546,0.52,0.040930092,1.406560993,24.05942065,0.02,5.75173533
46,153.36771,-27.12517002,1,Lmic,1.11,1.38,0.502,0.517,0.002700497,1.546800709,9.351953225,0.01,5.942129463
47,153.0927,-27.02340002,1,Lmic,0.96,1.23,0.553,0.542,0.109137596,1.466391357,23.71909484,0.02,5.826222769
48,152.91769,-26.91508002,1,Lmic,0.83,1.11,0.674,0.642,0.035348045,1.386312771,23.71909484,0.02,5.760560161
49,32.875,-26.875,1,Lmic,1.29,1.53,0.375,0.396,0.02592724,1.34824419,68.45106679,0.07,4.712391469
50,152.9675277,-26.66528715,1,Lmic,0.85,1.12,0.766,0.734,0.204983582,1.323742676,16.62924098,0.02,5.79945424
51,153.0844,-26.74840002,1,Lmic,0.98,1.25,0.664,0.653,0.439994568,1.568720627,16.62924098,0.02,5.841958763
52,153.0844,-26.58174002,1,Lmic,0.97,1.24,0.714,0.691,0.344188293,1.504888058,16.65825017,0.02,5.854178023
53,153.0844,-26.24840002,1,Lmic,1.475750332,1.727211155,0.768065073,0.809875166,0.167849608,1.466391357,12.26590481,0.01,5.878615485
54,152.98,-26.28,1,Lmic,0.97,1.24,0.628,0.601,0.01529796,1.466709614,12.26590481,0.01,5.832745957
55,152.7736,-26.0889,1,Lmic,0.84,1.12,0.525,0.497,0.006025145,1.49411602,9.78625258,0.01,5.76042638
56,153.0927,-26.05674002,1,Lmic,1.09,1.36,0.597,0.578,0.006025145,1.301182461,23.78683356,0.02,5.896133658
57,152.8427,-26.04008002,1,Lmic,0.96,1.23,0.528,0.504,0.006025145,1.520945072,9.78625258,0.01,5.792844308
58,152.94662,-25.75991,1,Lmic,1.12,1.39,0.514,0.497,0.002035191,1.488402843,21.10432968,0.02,5.856692739
59,153.05,-25.6167,1,Lmic,1.2,1.47,0.533,0.518,0.02102726,1.269051361,18.24773331,0.02,5.910488447
60,153.0094,-25.47341002,1,Lmic,1.21,1.47,0.522,0.51,0.02102726,1.286538124,18.24773331,0.02,5.903922019
61,150.02609,-25.42342002,1,Lmic,0.49,0.79,0.281,0.248,0.000157624,1.537013626,14.13428193,0.01,4.759195141
62,152.80499,-25.45269002,1,Lmic,1.14,1.41,0.506,0.487,0.018885799,1.552449512,21.29954094,0.02,5.819560728
63,150.1483,-25.39231002,1,Lmic,0.47,0.77,0.282,0.249,0.000242102,1.272335434,14.13428193,0.01,4.803149876
64,152.7667,-25.2833,1,Lmic,1.16,1.43,0.498,0.48,0.018885799,1.577275753,21.29954094,0.02,5.815701356
65,151.7511,-25.24842002,1,Lmic,0.74,1.03,0.413,0.379,0.000156014,1.866210938,82.0915799,0.08,5.390515975
66,149.2731,-25.10342002,1,Lmic,0.36,0.65,0.299,0.264,0.000157624,1.373134899,92.6161751,0.09,4.556756286
67,152.42278,-24.97278,1,Lmic,1.07,1.34,0.47,0.447,0.005977031,1.692455864,54.0692066,0.05,5.693016612
68,153.27,-24.92,1,Lmic,1.42,1.67,0.495,0.494,0.018885801,1.56783371,71.64902113,0.07,6.05426297
69,147.2511,-24.91511002,1,Lmic,0.28,0.57,0.283,0.245,0.000111976,1.327225018,218.7061354,0.22,3.412308288
70,152.08361,-24.58778,1,Lmic,1.1,1.38,0.489,0.458,0.005977031,1.949194908,21.95204225,0.02,5.576762035
71,151.9833,-24.4333,1,Lmic,1.14,1.42,0.513,0.476,0.001201037,1.721554375,21.95204225,0.02,5.545025072
72,149.03439,-24.16509002,1,Lmic,0.49,0.78,0.33,0.287,0.000111788,1.349734879,32.54468419,0.03,4.60325885
73,149.17641,-23.93173,1,Lmic,0.59,0.88,0.335,0.29,0.000547894,1.382137108,17.2409052,0.02,4.681090127
74,149.1761,-23.79009002,1,Lmic,0.66,0.95,0.338,0.291,0.000547894,1.137050533,17.2409052,0.02,4.699838906
75,151.0844,-23.58175002,1,Lmic,1.17,1.44,0.371,0.338,0.000503111,1.311104965,101.9836807,0.1,5.357285934
76,150.6675378,-22.83196543,1,Lmic,1.16,1.42,0.54,0.473,0.002247389,1.474613857,12.09623158,0.01,5.539195415
77,150.6403,-22.73498001,1,Lmic,1.17,1.43,0.528,0.463,0.002247389,1.776579475,12.09623158,0.01,5.574744191
78,57.47444,-20.43972,1,Lmic,1.37,1.52,0.812,0.872,0.104415169,1.171117496,23.5554924,0.02,5.317428151
79,148.741,-20.40779001,1,Lmic,1.23,1.47,0.824,0.749,0.007275965,1.280724621,221.6295956,0.22,5.879796435
80,57.597,-20.278,1,Lmic,1.47,1.62,0.85,0.919,0.225542542,1.407900143,23.5554924,0.02,5.213711242
81,146.95,-19.5,1,Lmic,1.01,1.25,0.565,0.467,0.002108329,1.121427536,5.56597454,0.01,5.653054511
82,147,-19.5,1,Lmic,1.14,1.38,0.615,0.51,0.002769695,1.085715961,5.56597454,0.01,5.67414509
83,143.4167,-18.8333,1,Lmic,1.06,1.33,0.536,0.49,3.48E-05,1.680359268,142.5150001,0.14,3.874562273
84,138.4939,-18.61996,1,Lmic,1.1,1.47,0.385,0.355,3.70E-05,1.279757118,47.48002278,0.05,2.821742479
85,137.60118,-18.53188,1,Lmic,1.03,1.41,0.349,0.325,3.04E-05,1.408287144,49.81571251,0.05,2.878808173
86,138.1429,-18.39017001,1,Lmic,1.1,1.47,0.395,0.363,0.000602019,1.273295593,47.48002278,0.05,2.919306126
87,142.2667,-18.3,1,Lmic,1.33,1.62,0.519,0.498,1.14E-05,1.562236786,142.5150001,0.14,3.413576426
88,145.45129,-18.29866001,1,Lmic,0.98,1.21,0.622,0.558,0.000576391,1.508822155,52.60649109,0.05,5.559747854
89,146.02,-18.27,1,Lmic,1.38,1.6,1.349,1.219,0.003688,1.529146957,19.92259813,0.02,5.956814813
90,137.26785,-18.24855001,1,Lmic,1.08,1.46,0.363,0.332,3.04E-05,1.897683144,49.81571251,0.05,2.995945592
91,145.8833,-18.1167,1,Lmic,1.4,1.62,1.414,1.283,0.003688,1.451020908,14.97827372,0.01,5.958452755
92,146.0167,-18.1,1,Lmic,1.42,1.64,1.484,1.349,0.003688,1.649192619,14.97827372,0.01,6.057648932
